sample_name,file_name,original_genome,genome,exp_protocol,cell_type,tissue,antibody,treatment,data_source,GSE,GSM,description,format
AML_db1_hg38toHg19,GSE105587_ENCFF018NNF_conservative_idr_thresholded_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bed
AML_db2_hg38toHg19,GSE105587_ENCFF161QAS_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,GM12878,,IKZF1,None,GEO,GSE105587,,IKZF1 ChIP-seq on human GM12878,bed
AML_db3_hg38toHg19,GSE105977_ENCFF617QGK_optimal_idr_thresholded_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db4_hg38toHg19,GSE105977_ENCFF793SZW_conservative_idr_thresholded_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db5_hg38toHg19,GSE105977_ENCFF937CGY_peaks_GRCh38.bed.gz ,hg38,hg19,ChiPseq,HEK293,,GLI2,None,GEO,GSE105977,,HEK293 cell line stably expressing N-terminal tagged eGFP-GLI2 under the control of a CMV promoter,bed
AML_db6_hg38toHg19,GSE91663_ENCFF316ASR_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq, K562,Lung , ZEB2,None,GEO,GSE91663 ,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db7_hg38toHg19,GSE91663_ENCFF319TPR_conservative_idr_thresholded_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db8_hg38toHg19,GSE91663_ENCFF553KIK_optimal_idr_thresholded_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq, K562, Lung, ZEB2,None,GEO,GSE91663,,ZEB2 ChIP-seq on human K562 (ENCODE),bed
AML_db9_hg38toHg19,GSM2423312_ENCFF155HVK_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq, K562,Lung, ZEB2,None,GEO,GSE91663,GSM2423312,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bed
AML_db10_hg38toHg19,GSM2423313_ENCFF722AOG_peaks_GRCh38.bed.gz,hg38,hg19,ChiPseq, K562,Lung, ZEB2,None,GEO,GSE91663,GSM2423313,K562 established from pleural effusion of 53 year old female with chronic myelogenous leukemia,bed
